	Account Number (CDP)	City Name (CDP)	Country (CDP)	City Short Name (CDP)	C40 (CDP)	Reporting Year (CDP)	Measurement Year (CDP)	Boundary (CDP)	Primary Methodology (CDP)	Methodology Details (CDP)	Gases included (CDP)	Total City-wide Emissions (metric tonnes CO2e) (CDP)	Total Scope 1 Emissions (metric tonnes CO2e) (CDP)	Total Scope 2 Emissions (metric tonnes CO2e) (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Current Population Year (CDP)	Current Population (CDP)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)	Average annual temperature (in Celsius) (CDP)	Land area (in square km) (CDP)	Average altitude (m) (CDP)	City Location (CDP)	Country Location (CDP)	Measurement year only (CDP)	scope fraction (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)
58	31146	Addis Ababa City Administration	Ethiopia	Addis Ababa	C40	2016.0	2012-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Reported according to the BASIC+ requirement	CO2; CH4; N2O	3708292.0	3708292.0		This is our first year of calculation	lack of capacity	2008.0	3384569.0		ETB     Ethiopian Birr				540.0	2650.0	(9.028874, 38.754366)	(9.145, 40.489673)	2012.0		CDP2016 TOT likely wrong because one scope is missing.	E
64	62180	Communauté urbaine du Grand Nancy	France	Communauté urbaine du Grand Nancy		2016.0	2016-12-31 00:00:00	A metropolitan area	Other	http://www.citepa.org/fr/activites/inventaires-des-emissions/secten	CO2; PFCs; CH4; SF6; N2O; HFCs	2150000.0					2014.0	265000.0		EUR     Euro	2015.0		10.5	142.3	212.0	(48.692054, 6.184417)	(46.227638, 2.213749)	2016.0			D
65	31169	Government of Hong Kong Special Administrative Region	Hong Kong	Hong Kong	C40	2017.0	2014-01-03 03:14:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	95% level of confidence	CO2; PFCs; CH4; SF6; N2O; HFCs	44900000.0	44876460.0		Increased	Hong Kong's GHG emission recorded a small increase of 1.31% from 44.3 million tones CO2e in 2013 to 44.9 million tonnes CO2e in 2014, mainly due to (i) the increase in electricity generation to cope with GDP and population growth; (ii) more use of coal for electricity generation to make up the shortfall in natural gas supply.	2016.0	7336600.0	310000000000.0	USD     US Dollar	2015.0	Census and Statistics Department	23.3	1104.0	129.0	(22.2880809, 114.1398015)	(22.396428, 114.109497)	2014.0		Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	C
66	54459	City of Reykjavík	Iceland	Reykjavík		2016.0	2013-12-31 00:00:00	A metropolitan area	2006 IPCC Guidelines for National Greenhouse Gas Inventories	Well, this is the total emissions as we only calculate scope 1. As I understand scope 1 this is scope 1 emissions, due to activities of citizens and businesses within the city limits, waste and flight / shipping. Emissions from energy generation is not included. That kind of emission is though very low as our energy and district heating runs on Hydro power and geothermal heat. We are not counting emissions from activities outside of the borders of the city, such as emissions from the international airport which is outside of Reykjavik and not the emissions of any production outside of the city which I understand is scope 3.	CO2; CH4; N2O	346630.0	346630.0		Increased	Emissions from traffic has  increased by 2% since 2011. Estimation of GHG emissions from aviation, fishing and sailing have increased by 19% since 2011. The most significant part of the increase is in navigation (passenger, cargo and other ships).	2015.0	122460.0	6248000000.0	ISK     Iceland Krona	2015.0	http://www.statice.is/	6.0	275.0	40.0	(64.12652, -21.81744)	(64.963051, -19.020835)	2013.0		CDP2016 TOT likely wrong because one scope is missing.	E
68	31166	Jakarta City Government	Indonesia	Jakarta 	C40	2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Other	Identify GHG emissions from potential sector, such energy using, transportation, solid waste, waste water, and industrial. Inventory GHG emissions and transportation as potential source. Identify mitigaton action through define criteria and scoring. Method of calculation:Emission / absorption of GHG = AD x EF, AD: The data generated from the construction activities and human activities, EF: The amount of emissions per uptake per unit		27780000.0			Decreased	- Commitment to Reduce the Greenhouse Gas Emissions - Jakarta’s commitment to reduce greenhouse gas     emissions, the target to cut emissions by 30% by 2030  will be applied. The greenhouse gas emisions target is based upon the base line of emision in 	2015.0	10075300.0			2015.0	Central Statistics Agency (BPS)	29.0	662.0		(-6.2087634, 106.845599)	(-0.789275, 113.921327)	2014.0			D
69	31313	Dublin City Council	Ireland	Dublin		2016.0	2011-12-31 00:00:00	Administrative boundary of a local government	Other	See LGO1.3 attachment	CO2	2942349.0			This is our first year of calculation		2011.0	527612.0	29018660000.0	EUR     Euro	2011.0	Brookings Institution	10.0	115.0	85.0	(53.344479, -6.270843)	(53.41291, -8.24389)	2011.0			D
70	36286	Comune di Ferrara	Italy	Ferrara		2016.0	2007-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	"The Baseline Emissions Inventory (BEI) was created according to the methodological instrument made available by Emilia-Romagna Region, with the technical-scientific support of the ARPA (Regional Agency for the Prevention and the Environment) within the Climate Plans regional work group, in which the Municipality of Ferrara participates. The cognitive foundation for producing the inventory is represented by the regional inventory of greenhouse gas emissions, created by the Emilia-Romagna Region and ARPA Emilia-Romagna, according to the standard methods of estimation recognised on an international level (IPCC, CORINAIR). To construct this regional inventory, the INEMAR software was used (INventario EMissioni ARia: Air Emissions Inventory), which consists of an application system created to estimate the emissions of various pollutants, for various types of activity (e.g.: heating, traffic, agriculture and industry) and by type of fuel, according to the international classification adopted in the field of EMEP-CORINAIR inventories. As envisaged by the Intergovernmental Panel on Climate Change (IPCC) Guidelines, in order to calculate emissions, the “bottom‐up” method was used, based on the sector end-use of fuels. In those cases where it was not possible to obtain accurate data, particularly concerning territorial data, a ""top-down"" approach was used, resorting to statistical processing of data aggregated at a provincial level. The overall picture of emissions of the Terre Estensi Association was built from the emissions inventory of the individual Municipalities of Ferrara, Masi Torello and Voghiera that constitute the Association, making the sum of the contributions of the three Municipalities. In line with the agreements within the Regional Work Group on Climate Plans, the year 2007 was chosen as a baseline reference year. The classification of the sources was created in accordance with the Cartesio Guidelines, which correspond with the ICLEI Protocol and ISO 14064."	CO2; PFCs; CH4; SF6; N2O; NF3; HFCs	1582605.13			Decreased	Measures foreseen in the SEAP has been properly implemented.	2015.0	133155.0					15.5	404.0	9.0	(44.8357395, 11.6189949)	(41.87194, 12.56738)	2007.0			D
71	36262	Comune di Genova	Italy	Genova		2016.0	2011-12-31 00:00:00	Administrative boundary of a local government	Other	The data that have been monitored by MEI 2011 and reported on SEAP	CO2	1810370.0			Other	Is not possible a comparison because the categories are quantified differently	2014.0	592995.0	25977591566.0		2015.0	www.ilsole24h.com	15.0	1118.0	19.0	(44.347961, 9.318415)	(41.87194, 12.56738)	2011.0			D
72	35886	Comune di Torino	Italy	Torino		2016.0	2014-12-31 00:00:00	"Other: Our  emission inventory takes in account the City of Turin  and its boundary, following the instruction of the JRC methodology (""How to develope a sustainable energy action plan"") setted up for the Covenant of Mayors initiative."	Other	"The city of Turin used, for its emission inventory, the methodology suggested by JRC (""How to develope a sustainable energy action plan"") for the Covenant of Mayors initiative. The methodology consists in the collection of data about yearly energy consumption (MWh/year) from different sources (electricity, natural gas, diesel, liquid gas, biomass, pv, solar thermal, wind…). Following methodology of covenant of mayors , by considering different emission coefficients (Ton CO2/MWh) for all different suorces – is possible to obtain the total CO2 emission (Ton/year)."	CO2	3496156.0			Decreased	Last updated in 2014. Since the last inventory performed a reduction of 22% in CO2 emissions compared to the base year (1991).	2014.0	898714.0	26933203382.0		2013.0	http://www.centroestero.org/FTP/opploc/TorinoUrbanProfile2013.pdf	15.0	130.0	239.0	(45.1006374, 7.6680046)	(41.87194, 12.56738)	2014.0			D
78	36495	Comune di Piacenza	Italy	Piacenza		2016.0	1990-12-31 00:00:00	Administrative boundary of a local government	Other	"The SEAP consists of two parts: 1. The emissions inventory base (EIB), which provides information about the energy consumption of the township, on current and future CO2 emissions, calculated using the conversion factors listed in the guidelines of the European Commission, quantifies the amount of CO2 down, identify problems and opportunities for sustainable energy development of the territory and potential in relation to the exploitation of renewable energy sources. Year taken as reference for calculations is 1990, in which the total CO2 emissions in the municipality of Piacenza amounted to 615,452 tons. Following the guidelines of the EU total emissions have been separated the quantities resulting from industrial / commercial and the relative proportion of mobility on the same highway as Admiral. The Town Council has no direct powers. Therefore, emissions from sectors which Admiral. They can hack through their regulatory instruments / regulations and their initiatives / incentives (Municipality as Consumer, Construction and Urban Planning, Mobility and Transport, Agriculture and Forestry, Waste Management, Strategic Planning, Communication and Information) amounted to 284,462 tons., as the basis on which to calculate the amount to be cut down to move in 2020 to a value of at least 20% lower than in 1990. In 2020, CO2 emissions from the sectors mentioned above correspond without corrective action to 338,259 tons. The set of actions that will be put in place will generate savings of 111,926 tons to 226,333 tons, bringing this value. equal to the value of 1990 decreased by 20.4%. Also in the SEAP were also included actions whose effects can not be quantified in terms of numbers but will also contribute to the achievement / improvement of the result. 2. The Action Plan (SEAP), which identifies a set of actions that the Administration intends to pursue in order to achieve the CO2 reduction defined in the EIB. 
The Action Plan is the instrument through which the municipality intends to achieve the goal of reduction of 111,926 tons. CO2 emissions in 2020. E 'was structured by defining n. 8 sectors of intervention for each specific actions are identified (n. 25) outlined in tabs that slope down detailed rules for implementation and the resources that the Town Council intends to put in place."	CO2	615452.0					2014.0	102269.0					11.8	118.0	61.0	(45.0519969, 9.6926451)	(41.87194, 12.56738)	1990.0			D
83	31110	Roma Capitale	Italy	Roma 	C40	2016.0	2010-12-31 00:00:00	Administrative boundary of a local government	Other	The metodology is top - down, using data of primary energy source amount.	CO2	10008879.0			Decreased		2015.0	2868347.0	90965338.0		2013.0	Chamber of Commerce	16.0	1285.0	20.0	(41.8723889, 12.4801802)	(41.87194, 12.56738)	2010.0			D
88	36154	Vilnius City Municipality	Lithuania	Vilnius 		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	Inventory report is prepared in accordance with the methodology recommended by the Intergovernmental Panel on Climate Change (IPCC) publications: 1. Revised 1996 Guidelines for National Greenhouse Gas Inventories, IPCC, 1997; 2. Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories, IPCC, 2000; 3. 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC, 2006 GHG emissions were calculated from activity levels in the different sectors that are in accordance with the IPCC publications.	CO2; PFCs; CH4; N2O; HFCs	1994560.0	1994560.0		Decreased	Increased wooden biomass utilization in Energy sector for the central heating.	2015.0	542626.0					6.8	401.0	98.0	(54.687156, 25.279651)	(55.169438, 23.881275)	2013.0		CDP2016 TOT likely wrong because one scope is missing.	E
90	31167	City of Lagos	Nigeria	Lagos	C40	2016.0	2014-12-31 00:00:00	A metropolitan area	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4	29426266.0	29426266.0		Other	This is our baseline Emission inventory done in 2014. We did not do any inventory in 2015 , However we intend to commence as soon as possible.	2016.0	21000000.0	1366000000000.0	USD     US Dollar	2016.0	www.lagosstate.gov.ng	30.0	3577.0	34.0	(6.524379, 3.379206)	(9.081999, 8.675277)	2014.0		CDP2016 TOT likely wrong because one scope is missing.	E
93	31148	City of Amsterdam	Netherlands	Amsterdam	C40	2016.0	2016-12-31 00:00:00	Administrative boundary of a local government	Other	Local standard based on electricity, gas, district heat en local transportation.	CO2	4471000.0	2161000.0	2310000.0	Decreased	The decrease is very slight (<0,1%). An exact reason cannot be given. It probably has to do with the fact that outdoor temperatures were lower in 2015 than in 2014 and an increase of economical activity. Despite these curcumstances it is a decrease of emissions. This can be an indication that climate policies have a positieve affect, though not very strong.	2015.0	822272.0	50047000000.0	EUR     Euro	2013.0	Rapport Economische Verkenningen MRA 2015, blz 97. (Amsterdam Metropolitan Area)	11.8	219.0	2.0	(52.370216, 4.895168)	(52.132633, 5.291266)	2016.0	1.0	S1 derived from TOT - S2 in CDP2016 dataset	C
103	55325	Município de Águeda	Portugal	Águeda		2016.0	2013-12-31 00:00:00	0	Other	 Sustainable Energy Action Plan (SEAP) + SEAP Monitoring Report: Águeda’s SEAP holds a total carbon reduction potential of 33% by 2020, using 2002 as the reference year. The considered actions will also result in substantial economical benefits for the region’s citizens, companies and municipality, estimated at an average of 8 million Euros per year.An average investment of 3,3 million Euros per year is required to implement the actions included in the SEAP, but the bulk of this cost can be supported by external investment (public incentives, bank loans, ESCO models and the transaction of white certificates and carbon credits), which reduces to 1,2 million Euros per year the investment to be supported by the region’s citizens, companies and municipality.		258882.0					2011.0	47729.0					15.0	335.0	31.0	(40.575302, -8.445822)	(39.399872, -8.224454)	2013.0			D
109	46514	City of Porto	Portugal	Porto		2016.0	2009-12-31 00:00:00	Administrative boundary of a local government	Other	The GHG emissions inventory was developed through the energy supply and demand data by the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt) and the National Statistics Institute (www.ine.pt). The Transports sector was estimated through a separate and specific mobility needs model.		1020000.0			Decreased	Porto Energy Agency has already calculated GHG emissions for 2004 , 2009 and 2012 (this last one with non definite or mature data). The 2004 GHG emissions were the basis for the Sustainable Action Plan development. As this is the first report, 2004 GHG emissions and related SEAP policies were submitted. The 2009 and 2012 GHG emissions balance point to a decrease in the emissions (by 22% and 24% respectively) - which indicates that Porto is half way of his ambitious target to 2020 – and these results are mainly  because of the decrease in the demand of fossil fuels (in mobility due to the Metro expansion) and “greener” national grid electricity.	2011.0	238954.0					15.2	42.0	83.0	(41.1579438, -8.6291053)	(39.399872, -8.224454)	2009.0			D
111	19233	Torres Vedras Municipality	Portugal	Torres Vedras 		2016.0	2009-12-31 00:00:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)		CO2	260331.0					2011.0	79465.0					15.0	407.0	75.0	(38.763669, -9.30148)	(39.399872, -8.224454)	2009.0			D
118	3429	City of Stockholm	Sweden	Stockholm	C40	2017.0	2015-01-03 03:15:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	2693442.0	1834343.0	859099.0	Decreased	Total emissions from the categories in Stockholm estimates at system boundaries have been reduced significantly over the past 10 years. Meanwhile, the population has grown by about 200 000 inhabitants. In Stockholm, it can be said that the reduction in per capita emissions by half will depend on the actual response, half of the population growth. The greenhouse gas emissions in Stockholm is calculated to 2.5 tonnes per capita in 2015, which can be compared to 2.6 tonnes per capita in 2014. Energy use for heating has decreased, which is due to energy efficiency measures and conversions (from oil to heat pumps). Stockholm has a clear reduction of the energy supply per capita for heating sector. Electricity use is however quite constant. The car traffic is constant in the last years even though the population has increased. However, there has been an increase in truck traffic. The overall greenhouse gas emissions from transportation is constant over the last years.	2015.0	923516.0	416797.0		2013.0	GDP is in (ppp)(mllion) source: Statistics Sweden	7.0	216.0	50.0	(59.3293235, 18.0685808)	(60.128161, 18.643501)	2015.0	1.0	Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	B
119	31151	Basel-Stadt	Switzerland	Basel-Stadt	C40	2017.0	2016-01-03 03:16:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	1105753.0	783932.0	321821.0	This is our first year of calculation		2016.0	198206.0	30864000000.0	CHF     Swiss Franc	2012.0	Bundesamt für Statistik (BFS): Volkswirtschaftliche Gesamtrechnung	12.0	37.0	260.0	(47.5619, 7.5928)	(46.818188, 8.227512)	2016.0	1.0	Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	B
121	35449	Stadt Zürich	Switzerland	Stadt Zürich		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Other	The 2000-Watt society methodology is a concept of sustainable development that uses two indicators: Primary energy demand and greenhouse gas emissions. The methodology is based on the final energy demand. Primary energy factors and GHG emission coefficients are according to the ecoinvent database (database with consistent and transparent, up-to-date Life Cycle Inventory (LCI) data – www.ecoinvent.org/database/). The grey energy of net imported other goods and services is not included in the methodology used by the city of Zurich as there is no specific data available. The methodology does not include emissions from non-energetic sources (e.g. landfills, waste water treatment). Primary energy, final energy and effective energy: The 2000-watt methodology defines primary energy as the total energy present in the original energy source, plus its grey energy. The energy that reaches the customer, after all conversion and transmission losses, is called final energy. In turn, only a part of this is actually used: the effective energy. The rest is lost as waste heat. Basis for all calculations is the final energy demand. Territorial principle: Basis of the methodology is the territorial principle. It refers to the energy consumed in the city area and the emissions which occur there. The energy sources grey energy and grey emissions are also taken into account. The grey energy of net imported other goods and service is not included in the 2000 watt society methodology (lack of specific data). However, the aim is to separately calculate and indicate the gray energy of net imported other goods and services. All calculations in regards to primary energy demand and greenhouse gas emissions are made with the balancing program ECORegion (http://www.ecospeed.ch/).	CO2; PFCs; CH4; SF6; N2O; NF3; HFCs	1822367.0			Stayed the same	The course of greenhouse gas emissions since 2008 is more or less constant. We assume that the positive effects of modernizing insulation of buildings are mostly compensated  by increased demands for comfort (e.g. higher room temperatures, larger living spaces, longer heating periods).	2014.0	404783.0	142400000000.0	CHF     Swiss Franc	2012.0	Statistischen Amt des Kantons Zürich	8.8	92.0	408.0	(47.3686498, 8.5391825)	(46.818188, 8.227512)	2014.0			D
127	1850	Birmingham City Council	United Kingdom	Birmingham		2016.0	2013-12-31 00:00:00	A metropolitan area	Other	Data supplied by Department of Energy & Climate Change annually with a two year lag.  Dataset is Local Authority Emissions within scope.	CO2	5199.7			Decreased	Total CO2 emissions decreased between 2012 and 2013 by 3.2%. The reduction is consistent with the decrease in overall UK emissions from 2012 to 2013. The main drivers of the decrease in UK emissions in 2013 were a decrease in the use of coal and gas for electricity generation. This reflects the decrease in overall emissions for the UK during this period driven mainly by reductions in emissions from power stations, industrial combustion and passenger cars. The reduction from power stations is driven by change in the fuel mix used for electricity generation with a reduction in the amount of coal which is a carbon intensive fuel. The reduction in industrial combustion is largely driven by the closure or reduced activity of industrial plants, a large portion of which occurred during 2009 likely due to economic factors.	2014.0	1101360.0	84000000000.0	GBP     Pound Sterling	2014.0	"""Global city GDP 2014"". Brookings Institution. Retrieved 18 November 2014."	9.2	267.8	140.0	(52.480174, -1.902907)	(55.378051, -3.435973)	2013.0			D
130	31052	City of Cardiff	United Kingdom	Cardiff		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Other	Department of Energy and Climate Change (DECC) local authority CO2 emissions data	CO2	2128000.0			Decreased	Main reduction in industry / commercial emissions but also some decrease in domestic emissions	2014.0	354300.0					9.7	140.0	65.0	(51.481581, -3.17909)	(55.378051, -3.435973)	2013.0			D
131	54529	City of Leicester	United Kingdom	Leicester		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories		CO2	1719600.0			Decreased	DECC have attributed this to a shared increase across the UK due to the warmer average temperatures experienced in 2013 compared to 2012. Relatively high coal prices in 2013 led to a reduction in coal for electricity generation, which contributed to reduced emissions from the industrial/commercial and domestic sectors.	2013.0	333812.0	10420059749.0	GBP     Pound Sterling	2013.0	Regional Gross Value Added (Income Approach) NUTS3 Tables from Office for National Statistics	9.9	73.0	60.0	(52.6333, -1.1333)	(55.378051, -3.435973)	2013.0			D
132	52897	City of Aspen and Pitkin County	USA	Aspen and Pitkin County		2016.0	2014-12-31 00:00:00	A metropolitan area	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		CO2; CH4; N2O	394341.0			Decreased	Aggregate emissions: -7.4% between 2004 and 2014. Res. Energy: +5%; Comm. Energy: -26%; Vehicles: - 13%; Airport: +15%; Waste:=2%	2010.0	8427.0	566889555.0	USD     US Dollar	2013.0	City of Aspen - Finance Dept (Liz Woods)	6.0	20.0	2405.0	(39.195, -106.837)	(37.09024, -95.712891)	2014.0			D
133	59552	City of Davis, CA	USA	Davis, CA		2016.0	2010-01-01 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	The City updated the inventory in 2012 using the latest available data from 2010.	CO2; CH4; N2O; HFCs	348437.0	348437.0		Decreased	Lower carbon emission electricity energy mix (grid).	2010.0	65600.0		USD     US Dollar	2016.0		23.0	25.0	15.0	(38.544907, -121.740517)	(37.09024, -95.712891)	2010.0		CDP2016 TOT likely wrong because one scope is missing.	E
138	35898	Greater Manchester	United Kingdom	Manchester		2016.0	2013-12-31 00:00:00	A metropolitan area	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	A GPC Compliant dataset has been established for Greater Manchester, including primary data from 2013. This work has been undertaken by Anthesis, who also support the World Resources Institute in the development of Carbon Reduction and emissions reporting and trajectory methodologies and reporting tools.	CO2; PFCs; CH4; SF6; N2O; NF3; HFCs	14889318.0	9587290.0	5302028.0	Decreased	Emissions decreased from is 18.4 to 18 million tonnes between 2012 and 2013. This represents a change from our 2015 GHG emissions tonnage figure.  This is due to inclusion of scope 3 emissions included in the Basic/Basic+ element of the inventory which GM commissioned which is now compliant with  the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI).  Previous submissions to CDP only included scope 1 and 2 emissions which drew directly from the national government DECC Local and Regional CO2 Emissions Estimates for 2005-2012 which used similar but not identical methodologies. This is part of a longer trend of decreasing emissions, punctuated with occasional increase years. Primary factors which determine the performance are the use of coal in any one year for grid electricity generation, and weather conditions during spring and autumn, where an extended heating season can occur if these are cold. A decline in total energy consumption is the most significant long term trend factor, due to the uptake of more energy efficient appliances, home adaptations, goods, services and transport	2014.0	2762000.0	87773000000.0		2013.0	UK ONS (using 1.56 USD/GBP) Figures provided is a GVA not GDP figure	9.5	1277.0	250.0	(53.4575955, -2.1578377)	(55.378051, -3.435973)	2013.0	1.0	S1 derived from TOT - S2 in CDP2016 dataset	C
146	35853	City of Baltimore	USA	Baltimore		2017.0	2014-01-03 03:14:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	medium/high. High confidence in stationary energy combustion and transportation emissions. Medium confidence in solid waste emissions (landfill waste emissions) due to proxy for landfill waste characterization, assumptions made for landfill gas capture system efficiency. High confidence about incineration activities in the City due to directly monitored emissions data received from EPA	CO2; CH4; N2O	7230497.0	4019044.0	3211447.0	Increased	Natural gas consumption decreased in residential sector but increased in commercial and industrial sectors. Electricity consumption increased across the board. Even though electricity emissions factors decreased in 2014, the increase in electricity consumption offset improvements in emissions factors. On-road and rail activity increased. Solid waste generation decreased slightly due to increased diversion of waste from the landfill but waste water generation increased.	2016.0	614664.0	43700000000000.0	USD     US Dollar	2014.0	National Association of Counties/U.S. Bureau of Economic Analysis	14.7	210.0	240.0	(39.2903848, -76.6121893)	(37.09024, -95.712891)	2014.0	1.0	Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	A
147	35884	City of San Diego	USA	San Diego		2016.0	2009-12-31 00:00:00	0	2006 IPCC Guidelines for National Greenhouse Gas Inventories	IPCC		12624227.0			Stayed the same	Emissions did not change much from 2008 (12.83 MMT) to 2009 (12.62 MMT). Residential, commercial, & industrial electricity use were all down slightly; residential & commercial natural gas use were down slightly; gasoline use & vehicle miles traveled increased slightly.	2016.0	1400000.0	206817000000.0	USD     US Dollar	2014.0	https://en.wikipedia.org/wiki/List_of_cities_by_GDP	17.6	964.5	129.0	(32.718146, -117.1701)	(37.09024, -95.712891)	2009.0			D
148	49787	City of Benicia	USA	Benicia		2016.0	2010-12-31 00:00:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)		CO2; PFCs; CH4; SF6; N2O; HFCs	688706.0			Increased	In 2010, community-wide emissions with large industrial emitters had increased from 2005 by 24% while community-wide emissions without large industrial emitters increased by 41%.  There was a 5.6% increase in emissions (2000-2005, with large emitters).   When the baseline inventory was completed, the team predicted that by 2010, emissions (w/ large industrial emitters) would increase 9% from 2005 to 4.6 million metric tons.  If large emitters were still included, then the increase between 2005 and 2010 was only a 24% increase, 15% more than what was originally predicted.  However, for 2010, it was decided to exclude large emitters.  This means that increases in all other sectors have a greater impact on total emissions, i.e. the increase in transportation emissions has a much greater impact on overall emissions levels.   The roughly 35% increase between 2005 and 2010 could be due to a number of things including changes in reporting protocols, e.g. permitting requirements changed or the non-recession years outweighed the recession years.  It could also be that Benicia was not as hard hit by the recession as other communities and therefore, emissions didn't decrease. Again, educated guesses have been made as to what caused the increase.    Please note that vehicle miles travelled (VMT) grew between 2000 and 2010 by 62%, while emissions increased 95%.  The % of total emissions from transportation is within the Bay Area average. The Metropolitan Transportation Commission (MTC) calculates VMT using a proprietary software model. MTC inputs traffic counts, vehicle speeds, vehicle make and model, and fuel data into its software. In 2010, per the change in the modeling software, Benicia is now responsible for 50% of the trips that start elsewhere but end in Benicia and trips that start in Benicia but end elsewhere. This is calculated based on the number of people that exit or enter the highway in Benicia. Pass through VMT is not attributed to Benicia. Then, emissions are calculated by inputting VMT into the CACP software, which generates a GHG equivalent (MTCO2e). The increase in off road emissions is due to construction permit projections for buildings, which may have never been built. However, estimating off road emissions using construction permit data is the recommended calculation method per ICLEI’s protocol and guidance.	2014.0	27450.0	23000000.0	USD     US Dollar	2014.0	Solano EDC http://www.solanocounty.com/depts/bos/working_to_create_jobs/economic_studies.asp	21.0	13.0	26.0	(38.049365, -122.1585777)	(37.09024, -95.712891)	2010.0			D
149	58621	Town of Blacksburg	USA	Blacksburg		2017.0	2015-01-03 03:15:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	Electricity and Natural Gas consumption are measured values however transportation figures are based on Virginia DOT's Vehicle Miles Traveled studies and estimates which may not be entirely accurate.	CO2; CH4; N2O	347483.42	124461.79	223021.63	Decreased	The last GHG inventory performed for the Town of Blacksburg was in 2012. Over those three years decreased emissions from electric utility provider's fuel mix has resulted in decreased emissions in the residential, commercial, industrial and public sectors. Considering the population increase it is likely that the culture of electricity use may have also lead to decreased consumption. Transportation emissions have increased by 1.39% which is likely due to the 3.29% increase in population. Wastewater emissions are significantly lower because of errors made in the previous emission calculations. Emissions from solid waste have also decreased roughly 4.4%.	2015.0	44215.0				this information is not available at this geographic scale	10.8	51.5	633.0	(37.2296, -80.4139)	(37.09024, -95.712891)	2015.0	1.0	Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	A
150	35862	City of Detroit	USA	Detroit		2016.0	2012-12-31 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		CO2; CH4; N2O	10329322.0	5520240.0	4809082.0	Stayed the same	This is the only inventory we have done.  The data has not been updated	2013.0	688701.0	186000000000.0	USD     US Dollar	2010.0	BEA, BLS, Brookings	9.0	359.0	192.0	(42.331427, -83.0457538)	(37.09024, -95.712891)	2012.0	1.0	S1 derived from TOT - S2 in CDP2016 dataset	C
