	city name	Average altitude (m)	Average annual temperature (in Celsius) (CDP)	Boundary (CDP)	Built-up Area (km2) (PKU)	CDP2016 data edited (CDP)	CH4_(waste+natgas)/person	CH4_waste/person	CO2 Emissions Per Capita (Ton) (PKU)	City GDP (CDP)	City Location (CDP)	City Name (CDP)	Current Population (CDP)	Current Population Year (CDP)	Emissions Quality Flag (CDP)	Emissions Protocol	Export/Production	Exports (m3)	GDP (10000 RMB) (PKU)	GDP Currency (CDP)	GDP Source (CDP)	Gases included (CDP)	Income Per Capita (RMB) (PKU)	Increase/Decrease from last year (CDP)	Land area (in square km) (CDP)	Methodology Details (CDP)	Production (m3)	Reason for increase/decrease in emissions (CDP)	Reporting Year (CDP)	S1 lower bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Scope 2 [metric ton CO2e] (CDP)	TOT lower bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	Total Emissions [metric ton CO2e] (CDP)	Urban Population (PKU)	Year of GDP (CDP)	city_type (carbonn)	corrected CH4_(waste+natgas)/person	country	data from CIA World Fact Book for 2014	full city name (PKU)	full city name (carbonn)	GDP unit (carbonn)	GDP (carbonn)	GDP year (carbonn)	lat (carbonn)	lon (carbonn)	nGDP (carbonn)	pop (carbonn)	pop_yr (carbonn)	region	scope fraction (CDP)
134	Roanoke	400.0	14.0	Administrative boundary of a local government			0.0367294791	0.017698981699999998		13900000000.0	(37.271, -79.9414)	City of Roanoke	98465.0	2013.0	D	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar	www.roanokeva.gov	CO2; CH4; N2O		Decreased	111.0	ICLEI Clean Air and Climate Protection Software	766200000000.0	The city uses a 2005 baseline and the community emissions have decreased 13.5%. In 2014 emissions are down 4% from 2013. The primary driver of this loss is the reduction of coal in the electric fuel mix.	2016.0					CDP	tCO2-eq	2015.0		1873350.7220396958	1898116.637756581	1922882.5534734658	1971679.0		2014.0		0.0356646952	USA												North America	
157	Roma	20.0	16.0	Administrative boundary of a local government			0.0151458624	0.011383130900000002		90965338.0	(41.8723889, 12.4801802)	Roma Capitale	2868347.0	2015.0	D	Other	0.01	68000000.0			Chamber of Commerce	CO2		Decreased	1285.0	The metodology is top - down, using data of primary energy source amount.	7800000000.0		2016.0					CDP	tCO2	2010.0					10008879.0		2013.0		0.0151130591	Italy												Europe	
244	Rosario															Community - GPC																	3687016.0	carbonn	tCO2-eq	2014.0								Municipality		Argentina			Municipality of Rosario	ARS	101706000000.0	2014.0	-32.9442	-60.6505	14624258765.4375	948312.0	2010.0	Latin America & Caribbean	
86	Rotterdam	-5.0	11.0	Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control.		Replaced by CDP2017 data. Reason: CDP2016 Scope1 includes power plant emissions. Action: Use CDP2017 (TOT and S1 values available only).	0.0287396254	0.0136552404			(51.9163716, 4.4509382)	Gemeente Rotterdam	624000.0	2014.0	C	Other: We compute scope 1 emissions for city and port and also scope 2 for the built environment	0.78	63420000000.0				CO2		Increased	208.0		81520000000.0	The total amount of CO2-emission in Rotterdam in 2015 has increased compared to the 2014-emissions. 34190633 tonnens in 2015 compared to 31512000 tonnes in 2014. It is the second relevant increase in a row, due to two new coal fire plants that started their operations. For that cause, we expect a further increase in 2016 and a decrease in 2017 when an old coal fire plant wil be closed.	2017.0				17840039.0	CDP	tCO2	2016.0					34190633.0				0.0170044476	Netherlands	2013.0											Europe	
113	Salvador	8.0	26.0	Administrative boundary of a local government			0.0204194776	0.0151203426		4745.0	(-12.97304, -38.502304)	City of Salvador	2902927.0	2014.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.69	11700000000.0			IBGE	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3			692819.0		17030000000.0		2016.0	1878348.2119284216	1945751.595005148	2013154.9780818743	3242166.0	CDP	tCO2-eq	2013.0	366395.0	2335146.2119284216	2402549.595005148	2469952.9780818745	3698964.0		2012.0		0.0167788505	Brazil												Latin America & Caribbean	0.9755599135325459
73	San Antonio	787.0	27.0	Administrative boundary of a local government			0.0367294791	0.017698981699999998		93198982910.0	(29.4241, -98.4936)	City of San Antonio	1400000.0	2012.0	A	International Emissions Analysis Protocol (ICLEI)	0.06	42870000000.0		USD     US Dollar		CO2; CH4; N2O			426.0		766200000000.0		2016.0	5815994.94816	6168122.93276	6520250.91736	7214051.0	CDP	tCO2-eq	2013.0	8520711.0	14336705.94816	14688833.93276	15040961.91736	15734762.0		2012.0		0.0356646952	USA												North America	1.0
245	San Carlos (Negros Occidental)															Community - GPC																	88330.0	carbonn	tCO2-eq	2015.0								Municipality		Philippines			City of San Carlos				10.0	123.0	377151896.859268	129981.0	2010.0	Southeast Asia	
174	San Diego	129.0	17.6	0			0.0367294791	0.017698981699999998		206817000000.0	(32.718146, -117.1701)	City of San Diego	1400000.0	2016.0	D	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.06	42870000000.0		USD     US Dollar	https://en.wikipedia.org/wiki/List_of_cities_by_GDP			Stayed the same	964.5	IPCC	766200000000.0	Emissions did not change much from 2008 (12.83 MMT) to 2009 (12.62 MMT). Residential, commercial, & industrial electricity use were all down slightly; residential & commercial natural gas use were down slightly; gasoline use & vehicle miles traveled increased slightly.	2016.0					CDP	tCO2-eq	2009.0		11226170.94816	11578298.93276	11930426.91736	12624227.0		2014.0		0.0356646952	USA												North America	
110	San Francisco	142.0	10.4	Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control			0.0367294791	0.017698981699999998		89205219000.0	(37.7749295, -122.4194155)	City of San Francisco	864816.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0		USD     US Dollar	Moody's Analytics and Bureau of Economic Analysis	CO2; CH4; N2O		Other	121.0	Used ICLEI U.S. Community Protocol to verify calendar year 2012 emissions.  During November 2015, the city reshaped and scoped calendar year 2012 emissions according to the new GPC BASIC framework to Compact of Mayors requirements.  The GPC expanded the scope of the verified 2012 inventory to report sources such as from natural gas leakage from the distribution system, district electricity, transmission and distribution electric losses, wastewater, agriculture/farming, ships and boats (non-ferry), off-road equipment and stationary sources.  This resulted in a higher emission number than originally verified by a third party.	766200000000.0	Methology Change: There was an increase in the emission number from inventory years 2010 to 2012.  The shift to the BASIC GPC framework during 2015 included categories that were otherwise excluded or not calculated during previous CDP reporting years.  Rather than rectify previous years, especially under the new GPC BASIC categories in which historic data is largely unavailable, CDP/COM reports will include these categories moving forward. However, to capture emission trends since 1990, the City will continue trending according to previously utilized ICLEI U.S. Community Protocol scopes in which case sectors such as Residential, Commercial/Industrial, Transportation (private, commercial, public/mass transit), Waste as well as Municipal emissions continues to decrease due to the City of San Francisco's progressive climate policies and commitment to implementing effective emission reduction strategies.	2016.0	3322495.8267656704	3540014.337572695	3757532.8483797195	4186111.0	CDP	tCO2-eq	2012.0	1131352.0	4518071.82676567	4735590.337572694	4953108.848379718	5381687.0		2015.0		0.0356646952	USA												North America	0.9880661956000042
246	San Jerónimo de Montería															Community																	1166.0	carbonn	tCO2-eq	2014.0								Municipality		Colombia			City of San Jerónimo de Montería	USD	3989.0	2012.0	8.0	-75.0	4682.7902617345	441301.0	2015.0	Latin America & Caribbean	
89	San Luis Potosí	1998.0	21.0	A metropolitan area			0.023195197400000003	0.0078818986		183992.0	(22.173333, -100.97005)	Ayuntamiento de San Luis Potosí	824229.0	2015.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.38	2973000000.0		MXN     Mexican Peso	INEGI	CO2; CH4; N2O		Increased	1482.0	the IPCC methodology was followed , implementing all the criteria therein following the classification.	7800000000.0	Because in recent years the city has seen a high degree of interest of foreign companies for the installation of new industrial plants, thus the demand for jobs and resources increases, having a greater number of companies, workers they need transportation that is often itself.	2016.0	695516.8591818234	804869.0229744002	914221.1867669768	1096122.89	CDP	tCO2-eq	2015.0	224507.1	920023.9591818237	1029376.1229744002	1138728.2867669768	1320629.99		2015.0		0.0173584747	Mexico												Latin America & Caribbean	1.0
116	Santa Monica	320.0	20.0	Administrative boundary of a local government		Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	0.0367294791	0.017698981699999998			(34.0219, -118.4814)	City of Santa Monica	92000.0	2014.0	B	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0				CO2; CH4; N2O		Decreased	20.0		766200000000.0	State renewable portfolio standard, low carbon fuel standard, electric vehicles, 15 x 15 Action Plan	2017.0	27153.7451648	50293.58415280001	73433.4231408	119026.0	CDP	tCO2-eq	2015.0	215565.0	242718.74516479997	265858.5841528	288998.4231408	334591.0				0.0356646952	USA												North America	1.0
247	Santa Rosa															Community - GPC																	1358351.0	carbonn	tCO2-eq	2010.0								Municipality		Philippines			City of Santa Rosa, Laguna				14.2843	121.088893	825996341.6109098	284670.0	2014.0	Southeast Asia	
15	Santarém	108.0	16.0	Administrative boundary of a local government			0.0361368851	0.0311275785			(39.236669, -8.685994)	Santarém	61752.0	2011.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.0	0.0				CO2			553.0		1.0		2016.0				245483.0	CDP	tCO2	2006.0	86235.0				331717.0				0.0361368851	Portugal												Europe	1.0000030146178822
4	Santiago	520.0	14.0	A metropolitan area		CDP2016 TOT recalculated by summing both CDP2016 scopes.	0.02322913	0.0155646043		125301713234.0	(-33.44889, -70.669265)	Región Metropolitana de Santiago	7314176.0	2015.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.0	0.0		USD     US Dollar	Central Bank of Chile	CO2; CH4; N2O		This is our first year of calculation	15403.0	GPC was used for organizing information, while for the estimation of emissions (equations and emission factors) the IPCC guidelines was used.	1.0	This is the firs GHG inventory for the Metropolitan Region of Santiago.	2016.0	18362773.33588736	19147608.99485589	19932444.65382441	23120027.8	CDP	tCO2-eq	2013.0	8306669.0	26669442.33588736	27454277.99485589	28239113.65382441	31426696.8		2013.0		0.02322913	Chile												Latin America & Caribbean	1.0
127	Santiago de Cali	995.0	24.7	Combination of administrative divisions			0.0153077511	0.006765019000000001		4540.0	(3.451647, -76.531985)	Santiago de Cali	2369829.0	2015.0	D	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.0	0.0			DAPM	CO2; CH4; N2O			566.0		1.0		2016.0					CDP	tCO2-eq	2010.0		3158858.9305162667	3442286.3302936186	3725713.730070972	4174608.0		2012.0		0.0153077511	Colombia												Latin America & Caribbean	
74	Santiago de Guayaquil		26.0	Administrative boundary of a local government			0.0150645511	0.005414334		5862.0	(-2.170998, -79.922359)	Santiago de Guayaquil	2350915.0	2010.0	A	Other	0.0	0.0			Banco Central del Ecuador, INEC (2010), Municipio de Guayaquil	CO2; CH4; N2O		This is our first year of calculation	5047.0	ISO 14064: Data generating activity Greenhouse Gas (GHG) multiplied by the emission factor (EF) or removal of GHG. Eg = Da x Efa, where, Eg = corresponds to the emission of GHG. Da = corresponds to the data of GHG generating activity. EFa = corresponds to emission factor generating activity.	240000000.0		2016.0	4438265.583820818	4755881.345691869	5073497.10756292	5429899.0	CDP	tCO2-eq	2014.0	1357475.0	5795740.583820817	6113356.345691869	6430972.10756292	6787374.0		2014.0		0.0150645511	Ecuador												Latin America & Caribbean	1.0
204	Sao Paulo															Community																	15880130.359	carbonn	tCO2-eq	2011.0								Municipality		Brazil			Municipality of São Paulo	USD	255288000000.0	1971.0	-23.5505	-46.633309	296267786865.972	11253503.0	2010.0	Latin America & Caribbean	
205	Sapporo															Community																	13024847.61	carbonn	tCO2-eq	2014.0								Municipality		Japan			Sapporo City				43.062	141.3544	103173988731.686	1952356.0	2015.0	East Asia	
122	Savannah	15.0	19.0	Administrative boundary of a local government		Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	0.0367294791	0.017698981699999998		15905000000.0	(32.0835, -81.0998)	City of Savannah	145674.0	2015.0	A	International Emissions Analysis Protocol (ICLEI)	0.06	42870000000.0		USD     US Dollar	Bureau of Economic Analysis:  http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=42340&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels	CO2; CH4; N2O		This is our first year of calculation	175.0	Inventory contains information on in-boundary transportation (transit, passenger, freight), electricity generation (residential, commercial and industrial) and stationary fuel combustion (residential, commercial and industrial).  All water and waste related emissions are already included in the municipal inventory.	766200000000.0		2017.0	2235855.273360186	2272495.196237772	2309135.1191153573	2381327.0	CDP	tCO2-eq	2014.0	1228219.0	3464074.2733601863	3500714.196237772	3537354.1191153573	3609546.0		2014.0		0.0356646952	USA												North America	1.0
185	Seattle	15.0	11.0	Administrative boundary of a local government		S1 derived from TOT - S2 in CDP2016 dataset	0.0367294791	0.017698981699999998		300827000000.0	(47.6062095, -122.3320708)	City of Seattle	662400.0	2015.0	C	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar	US Dept Commerce for Seattle-Tacoma-Bellevue region	CO2; CH4; SF6		Decreased	3692.0	Please see detailed source notes throughout the inventory document.	766200000000.0	The total amount of GHGs emitted from the core emissions sources has declined 6% between 2008 and 2014, from 3.7 to 3.5 million metric tons of CO2-equivalent (CO2e).  However, Seattle’s population grew by 13% in the same period resulting in a per person decline in emissions of 17%. Road transportation has been the largest category of emissions since 1990. Total emissions in this sector increased between 1990 and 2008, however, they have been decreasing since 2008. Advances in vehicle technology, plus a trend towards fewer vehicle miles travelled per person, have led both to decreased absolute emissions from road transportation (down 2% since 2008) and decreased emissions per person (down 13% during this period). Between 2008 and 2014, building-related emissions declined as a result of lower overall building energy use, particularly for residential buildings, due to energy efficiency, more multi-family living, and especially by warmer weather that reduced winter heating needs. This decline, though modest, is more impressive considering Seattle’s population and economy have grown considerably since 1990.  On a per resident basis, Seattle’s emissions declined  22% per since 1990 and 6% since 2008. A number of factors led to emissions decreases that counteracted the effect of population and economic growth, especially (as already noted) the decrease in carbon intensity of Seattle City Light’s electricity, more efficient cars and trucks, and building efficiency (including smaller dwellings) and fuel switching.  Increased efficiency of air travel also contributed to a decrease in GHG emissions.	2016.0	4488519.76518656	4655126.60590016	4821733.44661376	5150000.0	CDP	tCO2-eq	2012.0	72000.0	4560519.76518656	4727126.60590016	4893733.44661376	5222000.0		2014.0		0.0356646952	USA												North America	1.0
248	Seberang															Community - GPC																	8131.48208	carbonn	tCO2-eq	2016.0								Municipality		Malaysia			SEBERANG PERAI MUNICIPAL COUNCIL				5.377294	100.400146	12286098341.4965	1016000.0	2016.0	Southeast Asia	
249	Semarang															Community																	1770297.41	carbonn	tCO2-eq	2010.0								Municipality		Indonesia			City of Semarang				-6.96667	109.417	6417277136.0435705	1500000.0	2010.0	Southeast Asia	
250	Sendai															Community																	6573042.0	carbonn	tCO2-eq	2011.0								Municipality		Japan			Sendai City				38.2681	140.87	56716427749.0233	1073242.0	2014.0	East Asia	
70	Seoul	85.0	12.1	Administrative boundary of a local government			0.0157162134	0.0109325943		327602162000000.0	(37.566535, 126.9779692)	Seoul Metropolitan Government	10297138.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0		KRW     South Korean Won	Korean Statistical Information Service	CO2; CH4; N2O; HFCs; PFCs; SF6			605.0	Plus, For Local Government Greenhouse Gas Inventories.,  Korea Environment Corporation, 2010,)	1.0		2016.0	20551223.48991702	21240829.694086924	21930435.898256823	25082520.0	CDP	tCO2-eq	2013.0	22530144.0	43081367.48991703	43770973.69408693	44460579.89825682	47612664.0		2014.0		0.0157162134	South Korea												East Asia	1.0
290	Shanghai				1921.1				2.3513367179299998							Other			169715503.0				71923.6										47538733.2263	PKU	tCO2	2010.0						20217748.0				China		Shanghai										East Asia	
329	Shantou				230.9				0.6							Other			11995195.0				27836.15										2213793.0	PKU	tCO2	2010.0						3689655.0				China		Shantou										East Asia	
271	Shenyang				591.0				2.04							Other			41849101.0				42649.95										12745308.0	PKU	tCO2	2010.0						6247700.0				China		Shenyang										East Asia	
328	Shenzhen				932.6				1.97370200148							Other			95815101.0				50455.03										20444357.3118	PKU	tCO2	2010.0						10358381.0				China		Shenzhen										East Asia	
262	Shijiazhuang				297.3				1.2681375513600002							Other			12397815.0				33339.28										6524736.364019999	PKU	tCO2	2010.0						5145133.0				China		Shijiazhuang										East Asia	
251	Shimla															Community - GPC																	218896.0	carbonn	tCO2-eq	2013.0								Municipality		India			Shimla Municipal Corporation	INR	0.0	2015.0	31.10482	77.17340300000002	333092313.265448	169758.0	2011.0	South Asia	
206	Singapore															Community																	46831680.0	carbonn	tCO2-eq	2010.0								Sovereign city-state		Singapore			Government of Singapore	SGD	390089100000.0	2014.0	1.283333	103.833333	359124395494.9529	5535000.0	2015.0	Southeast Asia	
45	Somerville, MA	4.0		Administrative boundary of a local government			0.0367294791	0.017698981699999998			(42.393449, -71.082647)	City of Somerville, MA	78900.0	2014.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0				CO2; CH4; N2O		This is our first year of calculation	10.3		766200000000.0		2016.0	383007.55536416	402852.48249626	422697.40962836	461798.0	CDP	tCO2-eq	2014.0	124510.0	507517.55536416	527362.48249626	547207.4096283601	586308.0				0.0356646952	USA												North America	1.0
102	Sorocaba	601.0	20.8	Administrative boundary of a local government			0.0204194776	0.0151203426		44950031.0	(-23.4774899, -47.4220615)	Prefeitura de Sorocaba	644919.0	2015.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.69	11700000000.0		USD     US Dollar	IBGE	CO2; CH4; N2O; HFCs; PFCs; SF6		Other	450.0	"This inventory were considered for calculating the following greenhouse gases ( GHG ) : Carbon Dioxide ( CO2 ), methane ( CH4 ) , nitrous oxide ( N2O ) , Hydrochlorofluorocarbons ( HFC "" s ) , Perclorofluorcarbonos ( PFC "" s ) and hexafluoride Sulfur ( SF6 ) . , 2000 IPCC Good Practice Guidance and Management in Natural Uncertanty Greenhouse Gas Inventories ; 2006 IPCC Guidelines for National , Greenhouse Gas Inventories ISO 14064-1/2006 : To estimate GHG emissions in Sorocaba , the following references were used : Greenhouse Gases , ISO 14064-2/2007 : Greenhouse Gases , Global Protocol for Community - Scale Greenhouse Gas Emissions ( GPC ) 2012. Potential GHG Global Warming was used , according to the Second Assessment Report of the IPCC (1995 ) . The sectors analyzed were : agriculture, forestry and land use ( rice planting in irrigated systems , liming the soil , herd management and animal manure management , agricultural soil management , agricultural waste burning and land use change ) , energy ( mobile combustion , stationary combustion and electricity consumption ) ; industry , and waste ( landfill and sewage treatment ) . Databases respected in the country , as the IBGE and SEADE were used , in addition to consulting the ANP ( National Petroleum Agency ) , municipal government information , agencies and agriculture companies ."	17030000000.0	There is only an elaborate inventory, so we can not compare emissions	2016.0	677302.014402934	692276.4599919755	707250.9055810169	980290.0	CDP	tCO2-eq	2012.0	133680.5	810983.0144029341	825957.4599919755	840931.9055810169	1113971.0		2013.0		0.0167788505	Brazil												Latin America & Caribbean	0.9999995511552814
109	St Louis	142.0	13.9	Administrative boundary of a local government			0.0367294791	0.017698981699999998		149900000000.0	(38.6270025, -90.1994042)	City of St Louis	319294.0	2010.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar	https://www.stlouis-mo.gov/government/departments/budget/documents/upload/FY15-AOP-Summary-Overview-and-charts-S-1-to-S-82.pdf	CO2; CH4; N2O; HFCs		Decreased	170.9	We are using the 4th edition of the Protocol.	766200000000.0	The City has encouraged and facilitated numerous sustainability initiatives in the past several years	2016.0	2163094.7707027136	2243403.5940704797	2323712.4174382454	2481945.42	CDP	tCO2-eq	2014.0	6153317.9	8384828.470702712	8465137.294070479	8545446.117438246	8703679.12		2014.0		0.0356646952	USA												North America	0.9921394390743579
164	Stockholm	50.0	7.0	Administrative boundary of a local government		Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	0.0346900756	0.032253384100000004		416797.0	(59.3293235, 18.0685808)	City of Stockholm	923516.0	2015.0	B	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0			GDP is in (ppp)(mllion) source: Statistics Sweden	CO2; CH4; N2O		Decreased	216.0		1.0	Total emissions from the categories in Stockholm estimates at system boundaries have been reduced significantly over the past 10 years. Meanwhile, the population has grown by about 200 000 inhabitants. In Stockholm, it can be said that the reduction in per capita emissions by half will depend on the actual response, half of the population growth. The greenhouse gas emissions in Stockholm is calculated to 2.5 tonnes per capita in 2015, which can be compared to 2.6 tonnes per capita in 2014. Energy use for heating has decreased, which is due to energy efficiency measures and conversions (from oil to heat pumps). Stockholm has a clear reduction of the energy supply per capita for heating sector. Electricity use is however quite constant. The car traffic is constant in the last years even though the population has increased. However, there has been an increase in truck traffic. The overall greenhouse gas emissions from transportation is constant over the last years.	2017.0	937311.4839813312	968816.014203727	1000320.5444261229	1834343.0	CDP	tCO2-eq	2015.0	859099.0	1796410.4839813309	1827915.0142037272	1859419.5444261231	2693442.0		2013.0		0.0346900756	Sweden												Europe	1.0
252	Surat															Community																	16255462.0	carbonn	tCO2-eq	2011.0								Municipality		India			Surat Municipal Corporation				21.178284	72.80769599999998	8764626146.00931	4466826.0	2011.0	South Asia	
6	Suwon	75.0	13.1	Administrative boundary of a local government			0.0157162134	0.0109325943		12443320800000.0	(37.2635727, 127.0286009)	Suwon City	1221973.0	2015.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.0	0.0			Match statistics	CO2; CH4; N2O; HFCs; PFCs; SF6		Increased	121.0		1.0	Emissions increased 2.3% from last year’s emission total of 5,749,476 tons. This rise was due to a short-term phenomenon of rising waste generation at factory sites within Suwon. However, aside from the waste treatment sector, other sectors saw no increase in their emission rates.	2016.0	3132405.9237629306	3214242.2711177105	3296078.6184724914	3670140.0	CDP	tCO2-eq	2013.0	2710235.0	5237420.9237629315	5319257.271117711	5401093.61847249	5775155.0		2012.0		0.0157162134	South Korea												East Asia	1.104797187261641
295	Suzhou				832.1				1.48958612877							Other			35727500.0				48407.0										10917942.385	PKU	tCO2	2010.0						7329514.0				China		Suzhou										East Asia	
83	Sydney	39.0	20.0	Administrative boundary of a local government			0.039682077	0.0277933709		110000000000.0	(-33.8674869, 151.2069902)	City of Sydney	205339.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.5	31610000000.0		AUD     Australian Dollar	City Strategic Research Unit	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3		Decreased	26.0	Traditionally the City of Sydney has calculated city-wide GHG emissions based on the CCAP reporting tool by Kinesis - a private consultancy commissioned by the City. Recently the City has also developed GPC BASIC inventories for the 2005/06, 2013/14 and  2014/15 years to be compliant with the Compact of Mayors. The GPC BASIC inventories show lower emissions compared with inventories based on the CCAP tool due to different methodologies and emissions sources. Future year’s reports may be subject to change as the City of Sydney will be updating its inventories in the short term for achieving beyond GPC BASIC compliance.	62640000000.0	City of Sydney emissions have decreased due to cleaning of the grid, increased network costs leading to greater awareness and behaviour change (indicating there is some price elasticity in electricity consumption), improved energy efficiency, uptake of solar PV installations and weather influences.	2016.0	165405.6795283196	182335.9579428684	199266.2363574172	359064.0	CDP	tCO2-eq	2015.0	3197465.0	3362870.67952832	3379800.9579428686	3396731.236357417	3556529.0		2015.0		0.0336826837	Australia												Oceania	1.0
310	Taian				154.3				0.7301668335729999							Other			6114006.0				30480.28										2019794.06653	PKU	tCO2	2010.0						2766209.0				China		Taian										East Asia	
27	Taipei City	60.0	23.0	Administrative boundary of a local government			0.0149246533	0.0129213814			(25.037525, 121.563782)	Taipei City Government	2704810.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0				CO2; CH4; N2O		Increased	272.0	Taipei city using GPC methodology to make City GHG inventory since 2014.	1.0	The greenhouse gas emissions of Taipei City in 2014 were 14,546,000 metric tons. The greenhouse gas emissions of the City present a rising tendency in 1998-2008. The increasing tendency slowed down and began to decline since the 2008. Due to the operation commencement of Mass Rapid Transit (MRT) Xinyi Line and Songshan Line and because the global average temperature in 2014 was 0.69℃ higher than that of previous years, the electricity consumption increased slightly by 0.52% compared to that in 2013. Thus the overall greenhouse gas emissions in 2014 increased compared to that in 2013	2016.0	5363279.158213556	5439137.736363302	5514996.314513048	6493593.0	CDP	tCO2-eq	2014.0	8463811.0	13827090.158213556	13902948.736363305	13978807.314513048	14957404.0				0.0149246533	Taiwan												East Asia	1.0
267	Taiyuan, Shanxi				246.0				0.974897781548							Other			16222978.0				39453.99										3380932.83274	PKU	tCO2	2010.0						3467987.0				China		Taiyuan										East Asia	
263	Tangshan				417.8				1.501608							Other			22626477.0				41297.75										5782654.8678	PKU	tCO2	2010.0						3850975.0				China		Tangshan										East Asia	
124	Taoyuan		23.0	Administrative boundary of a local government		Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	0.0149246533	0.0129213814		529600000000.0	(24.993628, 121.30098)	Taoyuan City Hall	2153521.0	2017.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.0	0.0		USD     US Dollar	World Bank	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3		Increased	1220.9	For level of confidence, we multiply the accuracy level of collected activity data by the accuracy level of emission coefficients used.Accuracy level classification for activity data:?H?Regional statistics data :1?M?Cities statistics data:2?L?Central statistics data:3Accuracy level classification for emission coefficients:?H?Regional emission coefficients: 1 ?M?National emission coefficients: 2?L?International emission coefficients: 3The overall result is 5.13, the score falls within range 4-7, which was classified as medium level of confidence	1.0	Our industry is growing continuously, so our total emission is slowly increasing. The sectors with increasing emissions are: industrial energy (fuel) by 14.2%; industrial processes and product use by 12.1%; buildings and AFOLU by 3.7%. The sectors with emission reductions are: agriculture by 0.4%; industrial energy (electricity) by 0.04%.	2017.0	20243259.079620466	20303656.313095506	20364053.54657054	21143194.6	CDP	tCO2-eq	2014.0	14621331.42	34864590.50042046	34924987.733895496	34985384.96737054	35764526.0208		2014.0		0.0149246533	Taiwan												East Asia	1.0
253	Thane															Community																	4077107.0	carbonn	tCO2-eq	2013.0								Municipality		India			Thane Municipal Corporation				19.1724	72.957	3702479663.3173	1886941.0	2011.0	South Asia	
261	Tianjin				1294.1				3.64							Other			85614571.0				53192.42										34806608.2	PKU	tCO2	2010.0						9562255.0				China		Tianjin										East Asia	
