Account number,Organization,City,Country,Region,C40,Access,Reporting year,Accounting year,Boundary,Protocol,Gases included,Total emissions (metric tonnes CO2e),Scopes Included ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Comment,Increase/Decrease from last year,Reason for increase/decrease in emissions,Population,Population year,City Location,Country Location
49327,City of Providence,Providence,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,751882,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2183429,384000,,This is our first year of calculation,,178562,2014,"(41.824, -71.4128)","(37.09024, -95.712891)"
31148,City of Amsterdam,Amsterdam,Netherlands,Europe,C40,Public,2017,2015-12-01 - 2016-12-31,Administrative boundary of a local government,Other,CO2; N2O,4138000,Total Scope 1 and Scope 2,,2460000,"Figures of Electricity, gas and district heat are obtained from utilities and are reliable. Traffic emissions are calculated with a model and are therefore less accurate. Smaller sources of emissons are omitted.",Decreased,The decrease is very strong (10%) The reason for this is the exclution of emissions related to transport on national roads. Due to a new calculation model of the traffic department of the city these roads are no longer included in the vehicle movement calculation of the city.,834713,2016,"(52.370216, 4.895168)","(52.132633, 5.291266)"
36037,Santiago de Cali,Santiago de Cali,Colombia,Latin America,,Public,2017,2010-01-01 - 2010-12-31,Combination of administrative divisions,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O,4174608,Total Scope 1 and Scope 2,,,,,,2369829,2015,"(3.451647, -76.531985)","(4.570868, -74.297333)"
50541,City of Greensboro,Greensboro,USA,North America,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2,4467691,Total Scope 1 and Scope 2,,,,Decreased,"The inventory prepared in 2015 (based on 2013 data) indicated a decrease in GHG emissions compared with the prior inventory prepared in 2010 (based on 2007 data).  The 2007 inventory found that a total of 5,365,412 tons of CO2e​ were emitted in Greensboro.  The 2013 inventory showed a decrease of 897,721 tons to 4,467,691 tons of CO2e. Among the factors found to be contributing to this reduction were:  1) greater energy efficiency and conservation in the residential and commercial sectors; 2) reduced number of industrial operations that are highly energy intensive; 3) conversion of Duke Energy's power generation plant fleet away from coal-fired units to natural gas fired units; and 4) reduced total motor vehicle miles traveled in Greensboro. Additional factors that may have influenced this reduction include:  1) the national economic recession, during which many commercial and industrial sectors experienced significant contractions, many workers were unemployed, and many households downsized to smaller less energy consuming dwellings; and 2) the Better Buildings for Greensboro program, which received $4.7M through American Recovery and Reinvestment Act of 2009.  The program provided:  a) free compact fluorescent lightbulbs, b) low-flow showerheads, c) Kill-A-Watt energy usage meters, d) home energy efficiency audits e) low-interest financing for purchase of energy-efficient appliances, f) energy bill rebates for home energy-efficiency upgrades, and g) funding for energy-efficiency upgrades to business and government buildings.",287027,2017,"(36.072635, -79.791975)","(37.09024, -95.712891)"
42120,City of Salvador,Salvador,Brazil,Latin America,C40,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,3608561,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",3242166,366395,,,,2902927,2014,"(-12.97304, -38.502304)","(-14.235004, -51.92528)"
13067,City of New Orleans,New Orleans,USA,North America,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,4660930,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",3519969,1140961,,Decreased,"We submitted our 2014 baseline inventory last year as we had just completed. However, we subsequently learned more about our electricity mix and realized that our mix was not reflective of the eGrid mix and had much more nuclear and must less natural gas. We adjusted the inventory to reflect the right electricity emissions factor and that is the source of our decreased total inventory.",391495,2017,"(29.9511, -90.0715)","(37.09024, -95.712891)"
35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo ,Israel,South and West Asia,,Public,2017,2012-01-01 - 2012-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),CO2; CH4; N2O,4654482,Total Scope 1 and Scope 2,1624158,3303323,Data was based mostly on estimates and the Inventory is in Hebrew,Increased,"Mainly due to increase in electricity consumption, however increase is less than population growth so per capita there is a decrease in emissions, especially in energy in the industrial sector.  Also emissions from waste have increased only slightly and per capita have decreased, this is in line with Municipal policies to reduce landfill waste disposal.",432900,2014,"(32.081604, 34.782285)","(31.046051, 34.851612)"
54128,City of Reno,Reno,USA,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,2551639,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1371400,1180239,,This is our first year of calculation,,236995,2014,"(39.5296, -119.8138)","(37.09024, -95.712891)"
54497,City of Wroclaw,Wroclaw,Poland,Europe,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,632279,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",,,,Increased,Increased electricity consumption,635759,2015,"(51.107885, 17.038538)","(51.919438, 19.145136)"
50382,Municipio de Mérida,Mérida,Mexico,Latin America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,618879,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",,,,,Esta es la primera vez que se realiza el inventario.,830732,2010,"(20.96737, -89.592586)","(23.634501, -102.552784)"
54108,City of Durham,Durham,USA,North America,,Public,2017,2015-07-01 - 2016-06-30,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,4681117,Total Scope 1 and Scope 2,2720107,1976634,The data on transportation is the area in which I have the least confidence.,Increased,"scope 1 increased due to a large, unexplained jump in diesel VMT. This may be due to a change in the model. Scope 2 emissions actually decreased, but it was mostly due to cleaner energy production rather than reduction in energy use.",250815,2015,"(35.994, -78.8986)","(37.09024, -95.712891)"
31177,Salt Lake City,Salt Lake City,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,4752386,Total Scope 1 and Scope 2,,,,Decreased,Reduction in natural gas consumption due to warmer local winter temperatures.,192672,2015,"(40.7608, -111.891)","(37.09024, -95.712891)"
54337,Greater Amman Municipality,Amman ,Jordan,South and West Asia,C40,Public,2017,2014-01-01 - 2014-12-31,A metropolitan area,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O,7215407,Total Scope 1 and Scope 2,3322603,3892804,"Much of the data is not collected by the city, but is based on national figures. Transport data is estimated using VISUM traffic model.",This is our first year of calculation,GHG Inventory will be updated by July 2017,3705490,2016,"(31.945367, 35.928372)","(30.585164, 36.238414)"
35877,City of Pittsburgh,Pittsburgh,USA,North America,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,4851452,Total Scope 1 and Scope 2,,2729490,,Decreased,"There has been significant variation in the way that data was collected an reported, and Pittsburgh had about 30,000 fewer residents in 2013 compared to 2003. Recalculating 2003 and 2008 inventories to compare to the 2013 inventory shows that emissions have decreased by about 4% since the 2008 inventory, but have still increased by 10% since 2003. Several exogenous factors reduced emissions - such as lower electricity emission factors due to a cleaner electric grid, and better fuel efficiency and lower tailpipe emission factors for cleaner vehicles. However, Pittsburgh did see reductions in the tonnage of solid waste sent to landfill and a reduction in vehicle miles traveled. The industrial sector used less electricity in 2013 than in 2003, and less natural gas in 2013 than in 2008. The commercial sector used less electricity in 2013 than in 2008, but used significantly more natural gas. The residential sector increased electricity use and substantially increased natural gas use. The increase in natural gas is likely due to improved data quality, but seems to also correlate to the rise of hydraulic fracturing in the region. Natural gas emissions increased almost three-fold since 2003.",305704,2016,"(40.4406248, -79.9958864)","(37.09024, -95.712891)"
50359,Gobierno Municipal de León de los Aldamas,León de los Aldamas,Mexico,Latin America,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; PFCs; CH4; SF6; N2O; HFCs,5012133,Total Scope 1 and Scope 2,4045605,4276173,La elaboración del presente inventario contó con  asistencia técnica del Centro Mario Molina (utilizando la ya mencionada metodología del IPCC 2006 y los factores de emisión para las diferentes categorías analizadas) quienes posteriormente verificaron y validaron dicho inventario.,#N/A,#N/A,1578626,2015,"(21.122062, -101.683659)","(23.634501, -102.552784)"
36518,Comune di Udine,Udine,Italy,Europe,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,613588,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",438005,175583,,Stayed the same,respect to the baseline of 2006 the GHG emissions decreased of 4% in 2013,99528,2013,"(46.0667, 13.2333)","(41.87194, 12.56738)"
54111,City of Iowa City,Iowa ,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,435611,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",612546,433447,,Decreased,"Our utility provider, MidAmerican Energy is moving towards 100% renewables for electricity. The University of Iowa has increased the use of biofuels in their power plant and the City has increased energy efficiency standards in the building code. The population of Iowa City has increased, but the per capita emissions have decreased since we have been tracking emissions.",74220,2015,"(41.6611, -91.5302)","(37.09024, -95.712891)"
50579,City of Winnipeg,Winnipeg,Canada,North America,,Public,2017,2011-01-01 - 2011-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,5379024,Total Scope 1 and Scope 2,5360740,18284,Emission inventory was conducted and verified by an external third-party consultant,Increased,"Since our last GHG inventory in 1998, total GHG emissions have risen 2.31%, which can be largely attributed to increases in vehicle & transit sectors, as well as waste collection, water & wastewater sectors. Conversely, building electricity and natural gas usage demonstrates dramatic decreases since 1998.",735600,2016,"(49.8997541, -97.1374937)","(56.130366, -106.346771)"
43911,City of Ottawa,Ottawa,Canada,North America,,Public,2017,2012-01-01 - 2012-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),CO2; CH4; N2O,5420000,Total Scope 1 and Scope 2,,,"At the time, the City could not obtain data from the local utilities for the building sector, i.e. residential, commercial, and institutional buildings.  As a result, staff used provincial data and prorated it to a local level to determine emissions from the building sector.  To ensure greater accuracy for the next inventory, staff will work to obtain data from the local utilities.",Decreased,"The City undertakes a community inventory every 4 years, and so far have completed inventories for the years 2004, 2008, and 2012.  Starting in 2007, the province of Ontario began phasing out all coal facilities across the province, with the last coal plant closing in 2014.  This initiative was considerable in making a cleaner electrical grid, and reduce the electricity intensity factor from 170 gCO2/kWh to 97 gCO2/kWh.  As such, there was a considerable decrease in emissions in the building sector solely due to this initiative.",934243,2016,"(45.42153, -75.697193)","(56.130366, -106.346771)"
54066,City of Fort Collins,Fort Collins,USA,North America,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,403641,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",927177,1019659,,This is our first year of calculation,"This is the first year that the City of Fort Collins is reporting to GPC-compliant emissions to CDP and as such, no previous years can be referenced here. While still using the ICLEI Community Protocol, the City found that its emissions had decreased 1% point below 2015 and 12% below 2005 baseline levels.",161000,2016,"(40.5853, 105.0844)","(37.09024, -95.712891)"
60419,Municipalidad de Rio Grande,Rio Grande,Argentina,Latin America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,403180,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",981954,,,This is our first year of calculation,El año 2015 es nuestro primer año reporte de inventario de gases de efecto invernadero.,79765,2015,"(-53.786, -67.7002)","(-38.416097, -63.616672)"
36045,Santiago de Guayaquil,Santiago de Guayaquil,Ecuador,Latin America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,Other: ISO 14064,CO2; CH4; N2O,6787374,Total Scope 1 and Scope 2,5429899,1357475,,This is our first year of calculation,,2644891,2017,"(-2.170998, -79.922359)","(-1.831239, -78.183406)"
31149,City of Athens,Athens,Greece,Europe,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,392344,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1364941,3360563,,Decreased,"The small decrease is due: a) to lower grid-supplied electricity consumption by the commercial and industrial sector attributed to the lower economic activities as a result of the country's financial crisis, b) to lower energy use in private transportation as the sales of fuels in the city have significantly decreased due to the rising in gasoline prices which led the citizens to prefer public transportation than using their own private vehicles",664046,2011,"(37.98381, 23.727539)","(39.074208, 21.824312)"
50559,"City of St Catharines, ON","St Catharines, ON",Canada,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,388674,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",913052,41488,,This is our first year of calculation,,131400,2014,"(43.1594, -79.2469)","(56.130366, -106.346771)"
54623,Prefeitura de Betim,Betim,Brazil,Latin America,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,381302,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",,,,Increased,"Comparado ao ano base 2012, as emissões totais aumentaram em 2013, levando-se em conta as mesmas bases de cálculos e fontes de  dados utilizados. No processo de verificação, realizado somente para o ano de 2013, foram identificadas e corrigidas inconsistências. As emissões do setor de energia e transporte apresentaram redução e do setor Resíduos apresentaram aumento, conforme aba comparação do documento anexo à questão C1.9b desta relatoria.",378089,2010,"(-19.967308, -44.20119)","(-14.235004, -51.92528)"
35853,City of Baltimore,Baltimore,USA,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,7230497,Total Scope 1 and Scope 2,4019044,3211447,"medium/high. High confidence in stationary energy combustion and transportation emissions. Medium confidence in solid waste emissions (landfill waste emissions) due to proxy for landfill waste characterization, assumptions made for landfill gas capture system efficiency. High confidence about incineration activities in the City due to directly monitored emissions data received from EPA",Increased,"Natural gas consumption decreased in residential sector but increased in commercial and industrial sectors. Electricity consumption increased across the board. Even though electricity emissions factors decreased in 2014, the increase in electricity consumption offset improvements in emissions factors. On-road and rail activity increased. Solid waste generation decreased slightly due to increased diversion of waste from the landfill but waste water generation increased.",614664,2016,"(39.2903848, -76.6121893)","(37.09024, -95.712891)"
57509,Prefeitura Niterói,Niterói,Brazil,Latin America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,355887.75,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1134407.8,164574.2,,Other:,"O reporte do primeiro ano inventariado (2015) teve início no segundo semestre de 2016 e ainda encontra-se no estágio revisão. Por tal motivo, a prefeitura ainda irá estruturar na sequência o mapeamento de vulnerabilidades, bem como o plano de redução de emissões, adaptação e mitigação.",497883,2016,"(-22.892857, -43.118381)","(-14.235004, -51.92528)"
35857,City of Cincinnati,Cincinnati,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,7318055,Total Scope 1 and Scope 2,7318055,3055900,"We are confident in our results, but they have not been third party verified.",Decreased,"Emissions over all have gone down as a whole but emissions have gone up in Transportation & Mobile Sources and Industrial Energy. The reduction can be attributed to: Incentives for commercial energy upgrades offered by Duke, grid decarbonization, 100% Renewable energy offered to residents and businesses through the City’s Energy Aggregation Program, population loss from 2006 to 2015 (approximately 10%), and improved waste diversion.",298550,2015,"(39.1031, -84.512)","(37.09024, -95.712891)"
35995,City of Brasília,Brasília,Brazil,Latin America,,Public,2017,2012-01-01 - 2012-12-31,A metropolitan area,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; PFCs; CH4; SF6; N2O; HFCs,7739830,Total Scope 1 and Scope 2,,,,Increased,"Considerando-se as Emissões de GEE por setor para o DF (emissões totais) no período de 2005-2012, as emissões têm aumentado em todos os setores avaliados. De acordo com a análise, os setores Energia e Resíduos apresentaram variação crescente ao longo de todos os períodos de análise. Para o setor IPPU, apenas a comparação 2005-2008 apresentou resultados menores do que o período anterior (2005-2007), com nova tendência de aumento nos demais intervalos subsequentes (devido à redução da produção de cimento em 2008 e retomada da produção nos anos seguintes). Já AFOLU apresentou intervalos irregulares de variação positiva e negativa ao longo do período, com valores negativos para os intervalos 2005-2006, 2005-2008, 2005-2009 e 2005-2010. No ano de variação positiva (2005-2007) as categorias mais representativas em emissões no setor AFOLU (Calagem e Emissões da queima de biomassa) também tiveram variação positiva nesse mesmo período.",1409671,2015,"(-15.794229, -47.882166)","(-14.235004, -51.92528)"
60318,Prefeitura de Porto Velho,Porto Velho,Brazil,Latin America,,Public,2017,2013-01-01 - 2013-12-31,Combination of administrative divisions,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,344750,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",,,,,,494013,2013,"(-20.333764, -40.377582)","(-14.235004, -51.92528)"
55799,"City of Arlington, VA","Arlington, VA",USA,North America,,Public,2017,2012-01-01 - 2012-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,279743,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1239302,1273559,,Other: new method,This is our first year of calculation using the GPC method. A comparison will be available later in 2017 when a 2016 inventory is completed.,220400,2016,"(37.226486, -76.002594)","(37.09024, -95.712891)"
43920,City of Ljubljana,Ljubljana,Slovenia,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,2733850,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1829808,904042,,Decreased,"due to the actions taken. city centre closed for traffic, ordering of electricity (100 % RES), refurbishment of building (public and private through subsidies from public companies and state Eco-fund), iintroduction of CNG and electric buses in public transport, installation on electric cars charging stations, ...",288307,2016,"(46.056947, 14.505751)","(46.151241, 14.995463)"
61753,Yilan County Government,Yilan County,Taiwan,East Asia,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,8691225.04,Total Scope 1 and Scope 2,6957473.31,1733751.73,,Stayed the same,,458117,2015,"(24.730918, 121.763222)","(23.6978, 120.9605)"
54048,City of Knoxville,Knoxville,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,335684.6,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2653938,1647503,,This is our first year of calculation,"This is our first year of using the GPC methodology.  Comparing sectors we've tracked in the past, community emissions are down by about 8% relative to our 2005 baseline.  We have seen an increase in community traffic and business in the City which has prevented continued gains on emissions strategies.",185291,2016,"(35.9606, -83.9207)","(37.09024, -95.712891)"
31109,City of Melbourne,Melbourne,Australia,South Asia and Oceania,C40,Public,2017,2014-07-01 - 2015-06-30,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,334039,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",785326,3632431,,Increased,"2013/14 BASIC (including Scope 3 emissions) totals 5268025 tCO2e compared to 2014/15 BASIC (including Scope 3 emissions) 5319030 tCO2e. This represents a total change of +0.97%. Despite electricity consumption decreasing in the municipality leading to lower scope 2 emissions, scope 1 and 3 emissions have increased. Over this time, the population has increased by 4.96%.",136336,2015,"(-37.814107, 144.96328)","(-25.274398, 133.775136)"
31151,Basel-Stadt,Basel-Stadt,Switzerland,Europe,C40,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,1105753,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",783932,321821,,This is our first year of calculation,,198206,2016,"(47.5619, 7.5928)","(46.818188, 8.227512)"
35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,327465.74,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2393341.15,542481.74,,Increased,,2513451,2016,"(-19.916681, -43.934493)","(-14.235004, -51.92528)"
54075,City of Lakewood,Lakewood,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,327452,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",856008,774167,,Decreased,"The last inventory represented 2007 emissions, and the 2015 GPC BASIC inventory shows that emissions have decreased by approximately 8.5% since then. Significant decreases in GPC BASIC emissions occurred in residential buildings, on-road transportation, and wastewater treatment. Colorado state law requires Lakewood's electric utility to increase the efficiency of their operations and source increasing amounts of energy from low- to zero-carbon sources (i.e. renewable energy, recycled energy, etc.). As a result, the mix of energy sources that supply the electric grid changes every year and the resulting electricity emission factor decreases every year. Based on data from Lakewood electric utility provider, Xcel Energy, electricity emission factors decreased nearly 16% from 2007 to 2015. This trend was the primary cause of decreased emissions.",152589,2015,"(39.7047, -105.0814)","(37.09024, -95.712891)"
54104,City of Boulder,Boulder,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,317959,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",768209,913410,,Decreased,"Emissions have decreased 5.2% since the 2005 baseline and 1.2% since the last inventory, which was conducted in 2012. The most significant emission reductions occurred in commercial and industrial energy use, aviation, and wastewater treatment. Implementation of emissions reduction projects and programs, as well as a cleaner grid mix, contributed to this decrease.",107167,2015,"(40.0274, -105.2519)","(37.09024, -95.712891)"
35872,Municipality of Recife,Recife,Brazil,Latin America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,1705245,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1333830,371415,,Decreased,"The reason why the emissions from Recife has decreased was the change on methodology to calculate it. According to that, biofuels aren't considered carbon emitter anymore.",1625583,2016,"(-8.057838, -34.882897)","(-14.235004, -51.92528)"
35862,City of Detroit,Detroit,USA,North America,,Public,2017,2012-01-01 - 2012-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,10329322,Total Scope 1 and Scope 2,5520240,4809082,,Stayed the same,This is the only inventory we have done.  The data has not been updated,688701,2013,"(42.331427, -83.0457538)","(37.09024, -95.712891)"
31185,City of Warsaw,Warsaw,Poland,Europe,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,Other,CO2,11721774,Total Scope 1 and Scope 2,7930452,3791322,,Decreased,"Reduction of CO2 emission was caused by lower consumption of heat and electricity for buildings which may have been caused by investments in thermal retrofitting of buildings, reduction of energy use due to higher social awareness (due to SEAP educational campaigns) and warmer winter.",1629037,2016,"(52.2296756, 21.0122287)","(51.919438, 19.145136)"
54070,City of Eugene,Eugene,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,1767790,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",812688,955102,,Increased,"The primary reason for the increase compared to 2005 reporting is a change in accounting methodology for electricity in the Eugene Community Inventory. In 2005, electricity emissions were calculated using a utility-specific factor, while 2015, per GPC Guidance, Eugene is reporting electricity emissions using the location-based method for electricity. Other items to note on year-over-year change include the following: Scope 1 emissions have decreased by about -20% compared to 2005. This is attributed Oregon's adoption of a Renewable Fuel Standard which sets minimums of 10% ethanol in gasoline and 5% biodiesel in diesel fuels sold in the state, as well the effect of energy efficiency adoption in the RCI sectors for natural gas as well as warmer winders in 2014 and 2015. Since 2010 transportation emissions have decreased by -7% and natural gas emissions have gone down by --7% in the residential sector and -1% in the commercial / industrial sectors.",165885,2016,"(44.0519, -123.0867)","(37.09024, -95.712891)"
50375,Ayuntamiento de  Chihuahua,Chihuahua,Mexico,Latin America,,Public,2017,2010-01-01 - 2010-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O,14330260.71,Total Scope 1 and Scope 2,,,Datos obtenidos de estadísticas de INEGI y en algunos casos no existe registros historicos.,This is our first year of calculation,,841490,2015,"(28.636857, -106.076272)","(23.634501, -102.552784)"
49360,Pretoria - Tshwane,Pretoria - Tshwane,South Africa,Africa,C40,Public,2017,2014-07-01 - 2015-06-30,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),CO2; CH4; N2O,15236693,Total Scope 1 and Scope 2,4648959,10589996,The 2014/2015 GHG calculation was the third carbon footprint in three consecutive years and there has been a similar trends in the City.,Increased,The exclusion of the Eskom and Pre-paid energy usage in the baseline figures. The two subsequent years the afore-mentioned usage was included.,3300000,2017,"(-25.746111, 28.188056)","(-30.559482, 22.937506)"
58531,"City of Somerville, MA","Somerville, MA",USA,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,586308,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",461798,124510,,This is our first year of calculation,,78900,2014,"(42.393449, -71.082647)","(37.09024, -95.712891)"
